Datetime,Preliminary (ft),Predicted (ft)
2025-08-01 00:00:00+00:00,-0.013000000000000001,-0.0431
2025-08-01 01:00:00+00:00,0.024,-0.0422
2025-08-01 02:00:00+00:00,0.066,-0.0194
2025-08-01 03:00:00+00:00,0.149,0.0219
2025-08-01 04:00:00+00:00,0.22999999999999998,0.0796
2025-08-01 05:00:00+00:00,0.30300000000000005,0.1426
2025-08-01 06:00:00+00:00,0.352,0.192
2025-08-01 07:00:00+00:00,0.395,0.2212
2025-08-01 08:00:00+00:00,0.46799999999999997,0.24230000000000002
2025-08-01 09:00:00+00:00,0.495,0.2638
2025-08-01 10:00:00+00:00,0.529,0.2814
2025-08-01 11:00:00+00:00,0.542,0.2924
2025-08-01 12:00:00+00:00,0.5780000000000001,0.3021
2025-08-01 13:00:00+00:00,0.554,0.3114
2025-08-01 14:00:00+00:00,0.5509999999999999,0.312
2025-08-01 15:00:00+00:00,0.49800000000000005,0.3009
2025-08-01 16:00:00+00:00,0.462,0.2844
2025-08-01 17:00:00+00:00,0.41,0.26070000000000004
2025-08-01 18:00:00+00:00,0.322,0.2204
2025-08-01 19:00:00+00:00,0.233,0.1636
2025-08-01 20:00:00+00:00,0.174,0.10400000000000001
2025-08-01 21:00:00+00:00,0.092,0.049
2025-08-01 22:00:00+00:00,0.019,-0.006
2025-08-01 23:00:00+00:00,-0.05900000000000001,-0.0613
2025-08-02 00:00:00+00:00,-0.11499999999999999,-0.1041
2025-08-02 01:00:00+00:00,-0.145,-0.12309999999999999
2025-08-02 02:00:00+00:00,-0.165,-0.1167
2025-08-02 03:00:00+00:00,-0.11399999999999999,-0.0828
2025-08-02 04:00:00+00:00,-0.064,-0.0187
2025-08-02 05:00:00+00:00,0.025,0.0637
2025-08-02 06:00:00+00:00,0.10700000000000001,0.1406
2025-08-02 07:00:00+00:00,0.209,0.1992
2025-08-02 08:00:00+00:00,0.27999999999999997,0.24630000000000002
2025-08-02 09:00:00+00:00,0.337,0.28759999999999997
2025-08-02 10:00:00+00:00,0.366,0.3194
2025-08-02 11:00:00+00:00,0.40599999999999997,0.3405
2025-08-02 12:00:00+00:00,0.43899999999999995,0.3572
2025-08-02 13:00:00+00:00,0.454,0.3707
2025-08-02 14:00:00+00:00,0.47400000000000003,0.3724
2025-08-02 15:00:00+00:00,0.45199999999999996,0.3601
2025-08-02 16:00:00+00:00,0.40099999999999997,0.3403
2025-08-02 17:00:00+00:00,0.374,0.3125
2025-08-02 18:00:00+00:00,0.29700000000000004,0.26739999999999997
2025-08-02 19:00:00+00:00,0.22799999999999998,0.2052
2025-08-02 20:00:00+00:00,0.14300000000000002,0.139
2025-08-02 21:00:00+00:00,0.047,0.0762
2025-08-02 22:00:00+00:00,-0.014000000000000002,0.0114
2025-08-02 23:00:00+00:00,-0.093,-0.0571
2025-08-03 00:00:00+00:00,-0.16799999999999998,-0.1182
2025-08-03 01:00:00+00:00,-0.236,-0.1607
2025-08-03 02:00:00+00:00,-0.35,-0.1802
