Datetime,min,max,mean
2025-08-01 00:00:00+00:00,-0.08,0.6,0.30724999999999997
2025-08-02 00:00:00+00:00,-0.37,0.5,0.180375
2025-08-03 00:00:00+00:00,-0.44,0.51,0.13649999999999998
2025-08-04 00:00:00+00:00,-0.28,0.71,0.259125
2025-08-05 00:00:00+00:00,-0.2,0.89,0.40562499999999996
2025-08-06 00:00:00+00:00,-0.22,0.76,0.35241666666666666
2025-08-07 00:00:00+00:00,-0.22,0.72,0.28879166666666667
2025-08-08 00:00:00+00:00,-0.31,0.81,0.26887500000000003
2025-08-09 00:00:00+00:00,-0.14,0.95,0.42066666666666663
2025-08-10 00:00:00+00:00,0.1,1.2,0.6295000000000001
2025-08-11 00:00:00+00:00,0.48,1.23,0.8829583333333333
2025-08-12 00:00:00+00:00,0.52,1.19,0.781625
2025-08-13 00:00:00+00:00,0.44,0.99,0.6995833333333333
2025-08-14 00:00:00+00:00,0.14,0.84,0.55475
2025-08-15 00:00:00+00:00,0.27,1.16,0.7693333333333334
2025-08-16 00:00:00+00:00,0.31,1.12,0.7454583333333333
2025-08-17 00:00:00+00:00,0.11,1.11,0.7107916666666667
2025-08-18 00:00:00+00:00,0.12,1.14,0.6771666666666667
2025-08-19 00:00:00+00:00,0.09,1.43,0.6613749999999999
2025-08-20 00:00:00+00:00,0.04,1.15,0.6832083333333333
2025-08-21 00:00:00+00:00,0.14,1.1,0.6865416666666667
2025-08-22 00:00:00+00:00,0.14,1.14,0.6712916666666667
2025-08-23 00:00:00+00:00,0.31,1.15,0.7198333333333333
2025-08-24 00:00:00+00:00,0.34,1.11,0.7207916666666667
2025-08-25 00:00:00+00:00,0.51,1.05,0.7745833333333334
2025-08-26 00:00:00+00:00,0.3,0.95,0.653125
2025-08-27 00:00:00+00:00,0.37,0.86,0.6825833333333333
2025-08-28 00:00:00+00:00,0.45,1.08,0.8282916666666666
2025-08-29 00:00:00+00:00,0.43,1.08,0.818875
2025-08-30 00:00:00+00:00,0.42,1.11,0.9109583333333333
